sagitta_h_mm,x_mm,y_mm,angle_deg,alignment,group,d_lateral_mm,efficiency_pct,k,kQ,Q_rx,M_nH,S21_dB,coupling_regime
0,55,0,10,x-axis,control,55.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,55,55,10,diagonal,control,77.782,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,60,0,10,x-axis,control,60.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,60,60,10,diagonal,control,84.853,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,65,0,10,x-axis,control,65.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,65,65,10,diagonal,control,91.924,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,70,0,10,x-axis,control,70.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,70,70,10,diagonal,control,98.995,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,75,0,10,x-axis,control,75.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,80,0,10,x-axis,control,80.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,85,0,10,x-axis,control,85.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,90,0,10,x-axis,control,90.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,95,0,10,x-axis,control,95.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,100,0,10,x-axis,control,100.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,0,20,x-axis,control,0.0,0.68083,0.09360476,12.03635,128.59,592.87707,-15.649,overcoupled
0,0,5,20,y-axis,control,5.0,0.69525,0.09261496,11.90907,128.59,586.60781,-15.558,overcoupled
0,0,10,20,y-axis,control,10.0,0.74137,0.08964555,11.52724,128.59,567.80005,-15.279,overcoupled
0,0,15,20,y-axis,control,15.0,0.82905,0.08469653,10.89087,128.59,536.45379,-14.794,overcoupled
0,0,20,20,y-axis,control,20.0,0.98031,0.0777679,9.99993,128.59,492.56901,-14.066,overcoupled
0,0,25,20,y-axis,control,25.0,1.24356,0.06885967,8.85445,128.59,436.14573,-13.033,overcoupled
0,0,30,20,y-axis,control,30.0,1.73652,0.05797182,7.45442,128.59,367.18394,-11.583,overcoupled
0,0,35,20,y-axis,control,35.0,2.80365,0.04510437,5.79983,128.59,285.68365,-9.502,overcoupled
0,0,40,20,y-axis,control,40.0,5.81275,0.03025732,3.8907,128.59,191.64485,-6.336,overcoupled
0,0,45,20,y-axis,control,45.0,17.18404,0.014625,1.88058,128.59,92.63236,-1.628,overcoupled
0,0,50,20,y-axis,control,50.0,14.59015,0.00361095,0.46432,128.59,22.87117,-2.339,undercoupled
0,0,55,20,y-axis,control,55.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,60,20,y-axis,control,60.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,65,20,y-axis,control,65.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,70,20,y-axis,control,70.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,75,20,y-axis,control,75.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,80,20,y-axis,control,80.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,85,20,y-axis,control,85.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,90,20,y-axis,control,90.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,95,20,y-axis,control,95.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,100,20,y-axis,control,100.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,5,0,20,x-axis,control,5.0,0.69525,0.09261496,11.90907,128.59,586.60781,-15.558,overcoupled
0,5,5,20,diagonal,control,7.071,0.71014,0.09162515,11.7818,128.59,580.33856,-15.466,overcoupled
0,10,0,20,x-axis,control,10.0,0.74137,0.08964555,11.52724,128.59,567.80005,-15.279,overcoupled
0,10,10,20,diagonal,control,14.142,0.81032,0.08568633,11.01814,128.59,542.72304,-14.893,overcoupled
0,15,0,20,x-axis,control,15.0,0.82905,0.08469653,10.89087,128.59,536.45379,-14.794,overcoupled
0,15,15,20,diagonal,control,21.213,1.03111,0.07578829,9.74538,128.59,480.03051,-13.846,overcoupled
0,20,0,20,x-axis,control,20.0,0.98031,0.0777679,9.99993,128.59,492.56901,-14.066,overcoupled
0,20,20,20,diagonal,control,28.284,1.52827,0.06193104,7.96352,128.59,392.26096,-12.137,overcoupled
0,25,0,20,x-axis,control,25.0,1.24356,0.06885967,8.85445,128.59,436.14573,-13.033,overcoupled
0,25,25,20,diagonal,control,35.355,2.92321,0.04411457,5.67256,128.59,279.41439,-9.321,overcoupled
0,30,0,20,x-axis,control,30.0,1.73652,0.05797182,7.45442,128.59,367.18394,-11.583,overcoupled
0,30,30,20,diagonal,control,42.426,9.59114,0.02241282,2.882,128.59,141.95908,-4.161,overcoupled
0,35,0,20,x-axis,control,35.0,2.80365,0.04510437,5.79983,128.59,285.68365,-9.502,overcoupled
0,35,35,20,diagonal,control,49.497,18.20012,0.00436103,0.56077,128.59,27.62205,-1.379,undercoupled
0,40,0,20,x-axis,control,40.0,5.81275,0.03025732,3.8907,128.59,191.64485,-6.336,overcoupled
0,40,40,20,diagonal,control,56.569,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,45,0,20,x-axis,control,45.0,17.18404,0.014625,1.88058,128.59,92.63236,-1.628,overcoupled
0,45,45,20,diagonal,control,63.64,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,50,0,20,x-axis,control,50.0,14.59015,0.00361095,0.46432,128.59,22.87117,-2.339,undercoupled
0,50,50,20,diagonal,control,70.711,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,55,0,20,x-axis,control,55.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,55,55,20,diagonal,control,77.782,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,60,0,20,x-axis,control,60.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,60,60,20,diagonal,control,84.853,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,65,0,20,x-axis,control,65.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,65,65,20,diagonal,control,91.924,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,70,0,20,x-axis,control,70.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,70,70,20,diagonal,control,98.995,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,75,0,20,x-axis,control,75.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,80,0,20,x-axis,control,80.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,85,0,20,x-axis,control,85.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,90,0,20,x-axis,control,90.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,95,0,20,x-axis,control,95.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,100,0,20,x-axis,control,100.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,0,30,x-axis,control,0.0,0.79963,0.08626661,11.09276,128.59,546.39846,-14.95,overcoupled
0,0,5,30,y-axis,control,5.0,0.81653,0.08535441,10.97546,128.59,540.62069,-14.86,overcoupled
0,0,10,30,y-axis,control,10.0,0.87056,0.08261778,10.62357,128.59,523.28736,-14.581,overcoupled
0,0,15,30,y-axis,control,15.0,0.97321,0.07805674,10.03708,128.59,494.39848,-14.097,overcoupled
0,0,20,30,y-axis,control,20.0,1.15014,0.07167128,9.21599,128.59,453.95406,-13.372,overcoupled
0,0,25,30,y-axis,control,25.0,1.45761,0.06346141,8.16031,128.59,401.95408,-12.343,overcoupled
0,0,30,30,y-axis,control,30.0,2.03176,0.05342712,6.87003,128.59,338.39855,-10.901,overcoupled
0,0,35,30,y-axis,control,35.0,3.26737,0.04156842,5.34515,128.59,263.28747,-8.837,overcoupled
0,0,40,30,y-axis,control,40.0,6.69572,0.02788529,3.58568,128.59,176.62085,-5.721,overcoupled
0,0,45,30,y-axis,control,45.0,18.73804,0.01347848,1.73316,128.59,85.37044,-1.252,overcoupled
0,0,50,30,y-axis,control,50.0,13.08193,0.00332787,0.42792,128.59,21.07818,-2.813,undercoupled
0,0,55,30,y-axis,control,55.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,60,30,y-axis,control,60.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,65,30,y-axis,control,65.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,70,30,y-axis,control,70.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,75,30,y-axis,control,75.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,80,30,y-axis,control,80.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,85,30,y-axis,control,85.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,90,30,y-axis,control,90.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,95,30,y-axis,control,95.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,100,30,y-axis,control,100.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,5,0,30,x-axis,control,5.0,0.81653,0.08535441,10.97546,128.59,540.62069,-14.86,overcoupled
0,5,5,30,diagonal,control,7.071,0.83397,0.0844422,10.85816,128.59,534.84291,-14.768,overcoupled
0,10,0,30,x-axis,control,10.0,0.87056,0.08261778,10.62357,128.59,523.28736,-14.581,overcoupled
0,10,10,30,diagonal,control,14.142,0.95128,0.07896895,10.15437,128.59,500.17626,-14.196,overcoupled
0,15,0,30,x-axis,control,15.0,0.97321,0.07805674,10.03708,128.59,494.39848,-14.097,overcoupled
0,15,15,30,diagonal,control,21.213,1.20951,0.06984687,8.98139,128.59,442.39851,-13.153,overcoupled
0,20,0,30,x-axis,control,20.0,1.15014,0.07167128,9.21599,128.59,453.95406,-13.372,overcoupled
0,20,20,30,diagonal,control,28.284,1.78946,0.05707595,7.33922,128.59,361.50965,-11.452,overcoupled
0,25,0,30,x-axis,control,25.0,1.45761,0.06346141,8.16031,128.59,401.95408,-12.343,overcoupled
0,25,25,30,diagonal,control,35.355,3.40517,0.04065621,5.22786,128.59,257.5097,-8.658,overcoupled
0,30,0,30,x-axis,control,30.0,2.03176,0.05342712,6.87003,128.59,338.39855,-10.901,overcoupled
0,30,30,30,diagonal,control,42.426,10.87381,0.02065576,2.65606,128.59,130.8302,-3.616,overcoupled
0,35,0,30,x-axis,control,35.0,3.26737,0.04156842,5.34515,128.59,263.28747,-8.837,overcoupled
0,35,35,30,diagonal,control,49.497,16.63585,0.00401915,0.51681,128.59,25.45662,-1.769,undercoupled
0,40,0,30,x-axis,control,40.0,6.69572,0.02788529,3.58568,128.59,176.62085,-5.721,overcoupled
0,40,40,30,diagonal,control,56.569,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,45,0,30,x-axis,control,45.0,18.73804,0.01347848,1.73316,128.59,85.37044,-1.252,overcoupled
0,45,45,30,diagonal,control,63.64,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,50,0,30,x-axis,control,50.0,13.08193,0.00332787,0.42792,128.59,21.07818,-2.813,undercoupled
0,50,50,30,diagonal,control,70.711,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,55,0,30,x-axis,control,55.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,55,55,30,diagonal,control,77.782,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,60,0,30,x-axis,control,60.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,60,60,30,diagonal,control,84.853,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,65,0,30,x-axis,control,65.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,65,65,30,diagonal,control,91.924,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,70,0,30,x-axis,control,70.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,70,70,30,diagonal,control,98.995,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,75,0,30,x-axis,control,75.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,80,0,30,x-axis,control,80.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,85,0,30,x-axis,control,85.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,90,0,30,x-axis,control,90.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,95,0,30,x-axis,control,95.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,100,0,30,x-axis,control,100.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,0,40,x-axis,control,0.0,1.01742,0.0763073,9.81212,128.59,483.31781,-13.904,overcoupled
0,0,5,40,y-axis,control,5.0,1.03882,0.0755004,9.70836,128.59,478.20707,-13.814,overcoupled
0,0,10,40,y-axis,control,10.0,1.10721,0.07307972,9.3971,128.59,462.87484,-13.537,overcoupled
0,0,15,40,y-axis,control,15.0,1.23705,0.06904524,8.87831,128.59,437.32113,-13.056,overcoupled
0,0,20,40,y-axis,control,20.0,1.46048,0.06339697,8.15202,128.59,401.54594,-12.334,overcoupled
0,0,25,40,y-axis,control,25.0,1.84768,0.05613491,7.21822,128.59,355.54926,-11.313,overcoupled
0,0,30,40,y-axis,control,30.0,2.56701,0.04725906,6.0769,128.59,299.33109,-9.885,overcoupled
0,0,35,40,y-axis,control,35.0,4.09847,0.03676942,4.72807,128.59,232.89144,-7.853,overcoupled
0,0,40,40,y-axis,control,40.0,8.2242,0.02466599,3.17172,128.59,156.23031,-4.828,overcoupled
0,0,45,40,y-axis,control,45.0,20.93903,0.01192241,1.53307,128.59,75.51459,-0.77,overcoupled
0,0,50,40,y-axis,control,50.0,10.96153,0.00294367,0.37852,128.59,18.64475,-3.581,undercoupled
0,0,55,40,y-axis,control,55.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,60,40,y-axis,control,60.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,65,40,y-axis,control,65.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,70,40,y-axis,control,70.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,75,40,y-axis,control,75.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,80,40,y-axis,control,80.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,85,40,y-axis,control,85.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,90,40,y-axis,control,90.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,95,40,y-axis,control,95.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,100,40,y-axis,control,100.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,5,0,40,x-axis,control,5.0,1.03882,0.0755004,9.70836,128.59,478.20707,-13.814,overcoupled
0,5,5,40,diagonal,control,7.071,1.0609,0.07469351,9.60461,128.59,473.09633,-13.723,overcoupled
0,10,0,40,x-axis,control,10.0,1.10721,0.07307972,9.3971,128.59,462.87484,-13.537,overcoupled
0,10,10,40,diagonal,control,14.142,1.20934,0.06985214,8.98207,128.59,442.43188,-13.154,overcoupled
0,15,0,40,x-axis,control,15.0,1.23705,0.06904524,8.87831,128.59,437.32113,-13.056,overcoupled
0,15,15,40,diagonal,control,21.213,1.53537,0.06178318,7.94451,128.59,391.32445,-12.117,overcoupled
0,20,0,40,x-axis,control,20.0,1.46048,0.06339697,8.15202,128.59,401.54594,-12.334,overcoupled
0,20,20,40,diagonal,control,28.284,2.26404,0.05048665,6.49192,128.59,319.77406,-10.431,overcoupled
0,25,0,40,x-axis,control,25.0,1.84768,0.05613491,7.21822,128.59,355.54926,-11.313,overcoupled
0,25,25,40,diagonal,control,35.355,4.26785,0.03596253,4.62431,128.59,227.7807,-7.677,overcoupled
0,30,0,40,x-axis,control,30.0,2.56701,0.04725906,6.0769,128.59,299.33109,-9.885,overcoupled
0,30,30,40,diagonal,control,42.426,12.9854,0.0182711,2.34942,128.59,115.7261,-2.845,overcoupled
0,35,0,40,x-axis,control,35.0,4.09847,0.03676942,4.72807,128.59,232.89144,-7.853,overcoupled
0,35,35,40,diagonal,control,49.497,14.29779,0.00355515,0.45715,128.59,22.5177,-2.427,undercoupled
0,40,0,40,x-axis,control,40.0,8.2242,0.02466599,3.17172,128.59,156.23031,-4.828,overcoupled
