conic_curve_mm,x_cord,y_cord,angle,temp,Vin,Vout,Cin,Cout,S21_param,inductance,efficiency,L_tx_uH,L_tx_eff_uH,L_rx_eff_uH,C_parasitic_pF,f_srf_MHz,R_skin_ohm,R_total_ohm,proximity_factor,Q_tx,Q_rx,M_nH,k,kQ,k_critical,S11_dB,S22_dB,S12_dB,P_in_W,P_out_W,f_split_low_MHz,f_split_high_MHz,split_gap_kHz,coupling_regime,d_lateral_mm,alignment,group,Vout_measured,Iout_measured,efficiency_measured,notes
0,55,55,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,77.782,diagonal,control,,,,
0,60,60,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,84.853,diagonal,control,,,,
0,65,65,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,91.924,diagonal,control,,,,
0,70,70,0,75.0,12.0,0.0,86.999,86.999,-240.0,6.33383,0.0,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,0.0,0.0,0.0,0.00851126,-0.798,-0.798,-240.0,2.88,0.0,6.78,6.78,0.0,undercoupled,98.995,diagonal,control,,,,
0,0,0,10,75.0,12.0,0.547047,86.999,86.999,-15.278,6.33383,0.74156,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,621.3414,0.09809877,11.52577,0.00851126,-0.798,-0.798,-15.278,2.88,0.02135694,6.4701,7.1392,669.14,overcoupled,0.0,x-axis,control,,,,
0,5,0,10,75.0,12.0,0.546959,86.999,86.999,-15.187,6.33383,0.75725,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,614.77116,0.09706145,11.40389,0.00851126,-0.798,-0.798,-15.187,2.88,0.02180887,6.4731,7.1351,661.98,overcoupled,5.0,x-axis,control,,,,
0,10,0,10,75.0,12.0,0.546678,86.999,86.999,-14.908,6.33383,0.80742,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,595.06043,0.09394947,11.03826,0.00851126,-0.798,-0.798,-14.908,2.88,0.02325368,6.4823,7.1228,640.52,overcoupled,10.0,x-axis,control,,,,
0,15,0,10,75.0,12.0,0.546143,86.999,86.999,-14.424,6.33383,0.90277,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,562.20921,0.08876285,10.42887,0.00851126,-0.798,-0.798,-14.424,2.88,0.02599968,6.4978,7.1025,604.79,overcoupled,15.0,x-axis,control,,,,
0,20,0,10,75.0,12.0,0.545219,86.999,86.999,-13.697,6.33383,1.06717,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,516.21751,0.08150158,9.57574,0.00851126,-0.798,-0.798,-13.697,2.88,0.03073454,6.5195,7.0744,554.89,overcoupled,20.0,x-axis,control,,,,
0,25,0,10,75.0,12.0,0.543603,86.999,86.999,-12.666,6.33383,1.35309,6.33029,6.33383,6.33383,0.0487,286.5,0.4593,2.29652,5.0,117.49,117.49,457.08531,0.07216565,8.47885,0.00851126,-0.798,-0.798,-12.666,2.88,0.03896909,6.5479,7.0387,490.88,overcoupled,25.0,x-axis,control,,,,
